hydro_year;type_category
1960;Neutral
1961;Neutral
1962;Neutral
1963;Warm
1964;Cold
1965;Warm
1966;Neutral
1967;Neutral
1968;Neutral
1969;Warm
1970;Cold
1971;Cold
1972;Warm
1973;Cold
1974;Cold
1975;Cold
1976;Warm
1977;Warm
1978;Neutral
1979;Warm
1980;Neutral
1981;Neutral
1982;Warm
1983;Cold
1984;Cold
1985;Neutral
1986;Warm
1987;Warm
1988;Cold
1989;Neutral
1990;Neutral
1991;Warm
1992;Neutral
1993;Neutral
1994;Warm
1995;Cold
1996;Neutral
1997;Warm
1998;Cold
1999;Cold
2000;Cold
2001;Neutral
2002;Warm
2003;Neutral
2004;Warm
2005;Cold
2006;Warm
2007;Cold
2008;Neutral
2009;Warm
2010;Cold
2011;Cold
2012;Neutral
2013;Neutral
2014;Warm
2015;Warm
2016;Cold
2017;Cold
2018;Warm